raw,count
Negative,1184557
See Comment,969268
>89,544120
Not Detected,305348
<0.2,128426
Nonreactive,126655
1+,80528
Trace,75612
...,68124
Reference Intervals,57700
2+,48274
3+,43412
Present,42627
Positive,38215
<0.04,27360
<1.0,25184
<0.10,23927
<0.3,22194
<10,20282
No Growth at 1:1000 dilution,18875
No Significant Growth,18060
<=5.0,17512
<20,16431
Detected,16350
>1000,16064
<20.0,15956
<0.150,13262
>100.0,12079
Reactive,11102
<5,8799
>200,8526
NOT DETECTED,8502
">100,000 CFU/mL Escherichia coli",8222
NEGATIVE,8171
<1,7305
4+,7189
<12.0,7096
<1:20,6710
Negative for Intraepithelial Lesion or Malignancy.,6003
<30,5619
<4,5572
<2.0,5481
>210,5424
<=200,5191
<1:40,5092
<24.0,4976
Test Not Performed,4973
<15,4880
30%,4771
<1:10,3887
