raw_value,clean_for_rules,category,changed_by_cleaning
CONTROL WELL. DRUG TERMINATED. REPORTING UCLA MIC,CONTROL WELL. DRUG TERMINATED. REPORTING UCLA MIC,comment_or_report,No
NON REPORTABLE,NON REPORTABLE,comment_or_report,No
NOTE,NOTE,comment_or_report,No
RN to note,RN to note,comment_or_report,No
RN to note.,RN to note.,comment_or_report,No
Reference Interval,Reference Interval,comment_or_report,No
Reference Intervals,Reference Intervals,comment_or_report,No
SEE NOTE,SEE NOTE,comment_or_report,No
See Comment,See Comment,comment_or_report,No
See Note,See Note,comment_or_report,No
See Notes,See Notes,comment_or_report,No
Specimen sent to non-Sutter reference lab for testing. Results will be available at a later date.,Specimen sent to non-Sutter reference lab for testing. Results will be available at a later date.,comment_or_report,No
TEST NOT PERFORMED,TEST NOT PERFORMED,comment_or_report,No
TEST NOT PERFORMED.,TEST NOT PERFORMED.,comment_or_report,No
Test Not Performed,Test Not Performed,comment_or_report,No
Test not performed,Test not performed,comment_or_report,No
see note,see note,comment_or_report,No
DETECTED,DETECTED,detected,No
Detected,Detected,detected,No
NO DNA DETECTED,NO DNA DETECTED,detected,No
NONE DETECTED,NONE DETECTED,detected,No
NONE DETECTED mcg/mL,NONE DETECTED mcg/mL,detected,No
None Detected,None Detected,detected,No
REACTIVE,REACTIVE,detected,No
Reactive,Reactive,detected,No
Reactive cellular changes.,Reactive cellular changes.,detected,No
CANCELED,CANCELED,error_flag,No
INVALID,INVALID,error_flag,No
Invalid,Invalid,error_flag,No
cancel,cancel,error_flag,No
< 0.1,< 0.1,inequality,No
< 0.20,< 0.20,inequality,No
< 0.5,< 0.5,inequality,No
< 0.50 ug/mL,< 0.50 ug/mL,inequality,No
< 16 Units,< 16 Units,inequality,No
< 3.0,< 3.0,inequality,No
<0,<0,inequality,No
<0.0,<0.0,inequality,No
<0.01,<0.01,inequality,No
<0.010,<0.010,inequality,No
<0.02,<0.02,inequality,No
<0.03,<0.03,inequality,No
<0.030,<0.030,inequality,No
<0.04,<0.04,inequality,No
<0.05,<0.05,inequality,No
<0.096,<0.096,inequality,No
<0.1,<0.1,inequality,No
<0.10,<0.10,inequality,No
<0.100,<0.100,inequality,No
<0.11,<0.11,inequality,No
<0.12,<0.12,inequality,No
<0.15,<0.15,inequality,No
<0.150,<0.150,inequality,No
<0.17,<0.17,inequality,No
<0.19,<0.19,inequality,No
<0.2,<0.2,inequality,No
<0.20,<0.20,inequality,No
<0.25,<0.25,inequality,No
<0.26,<0.26,inequality,No
<0.27,<0.27,inequality,No
<0.3,<0.3,inequality,No
<0.30,<0.30,inequality,No
<0.34,<0.34,inequality,No
<0.4,<0.4,inequality,No
<0.40,<0.40,inequality,No
<0.42,<0.42,inequality,No
<0.5,<0.5,inequality,No
<0.50,<0.50,inequality,No
<0.51,<0.51,inequality,No
<0.6,<0.6,inequality,No
<0.60,<0.60,inequality,No
<0.63,<0.63,inequality,No
<0.7,<0.7,inequality,No
<0.8,<0.8,inequality,No
<0.80,<0.80,inequality,No
<0.9,<0.9,inequality,No
<0.90,<0.90,inequality,No
<0.900,<0.900,inequality,No
<1,<1,inequality,No
"<1,000","<1,000",inequality,No
<1.0,<1.0,inequality,No
<1.0 NEG,<1.0 NEG,inequality,No
<1.005,<1.005,inequality,No
<1.060,<1.060,inequality,No
<1.1,<1.1,inequality,No
<1.10,<1.10,inequality,No
<1.2,<1.2,inequality,No
<1.3,<1.3,inequality,No
<1.5,<1.5,inequality,No
<1.54,<1.54,inequality,No
<1.7,<1.7,inequality,No
<1.8,<1.8,inequality,No
<1.82,<1.82,inequality,No
<10,<10,inequality,No
<10 Epithelial cells per low power field,<10 Epithelial cells per low power field,inequality,No
"<10,000 CFU/mL Aerococcus sanguinicola","<10,000 CFU/mL Aerococcus sanguinicola",inequality,No
"<10,000 CFU/mL Aerococcus species","<10,000 CFU/mL Aerococcus species",inequality,No
"<10,000 CFU/mL Aerococcus urinae","<10,000 CFU/mL Aerococcus urinae",inequality,No
"<10,000 CFU/mL Aerococcus viridans","<10,000 CFU/mL Aerococcus viridans",inequality,No
"<10,000 CFU/mL Beta Streptococcus","<10,000 CFU/mL Beta Streptococcus",inequality,No
"<10,000 CFU/mL Candida albicans","<10,000 CFU/mL Candida albicans",inequality,No
"<10,000 CFU/mL Chryseobacterium indologenes","<10,000 CFU/mL Chryseobacterium indologenes",inequality,No
"<10,000 CFU/mL Citrobacter braakii","<10,000 CFU/mL Citrobacter braakii",inequality,No
"<10,000 CFU/mL Citrobacter freundii","<10,000 CFU/mL Citrobacter freundii",inequality,No
"<10,000 CFU/mL Citrobacter freundii complex","<10,000 CFU/mL Citrobacter freundii complex",inequality,No
"<10,000 CFU/mL Citrobacter koseri","<10,000 CFU/mL Citrobacter koseri",inequality,No
"<10,000 CFU/mL Citrobacter werkmanii","<10,000 CFU/mL Citrobacter werkmanii",inequality,No
"<10,000 CFU/mL Citrobacter youngae","<10,000 CFU/mL Citrobacter youngae",inequality,No
"<10,000 CFU/mL Coagulase negative Staphylococcus","<10,000 CFU/mL Coagulase negative Staphylococcus",inequality,No
"<10,000 CFU/mL Coagulase negative Staphylococcus, not Staphylococcus saprophyticus","<10,000 CFU/mL Coagulase negative Staphylococcus, not Staphylococcus saprophyticus",inequality,No
"<10,000 CFU/mL Coagulase negative Staphylococcus-like colonies","<10,000 CFU/mL Coagulase negative Staphylococcus-like colonies",inequality,No
"<10,000 CFU/mL Corynebacterium aurimucosum","<10,000 CFU/mL Corynebacterium aurimucosum",inequality,No
"<10,000 CFU/mL Corynebacterium species, not urealyticum","<10,000 CFU/mL Corynebacterium species, not urealyticum",inequality,No
"<10,000 CFU/mL Corynebacterium urealyticum","<10,000 CFU/mL Corynebacterium urealyticum",inequality,No
"<10,000 CFU/mL Coryneform bacteria","<10,000 CFU/mL Coryneform bacteria",inequality,No
"<10,000 CFU/mL Enterobacter aerogenes (Klebsiella aerogenes)","<10,000 CFU/mL Enterobacter aerogenes (Klebsiella aerogenes)",inequality,No
"<10,000 CFU/mL Enterobacter cloacae complex","<10,000 CFU/mL Enterobacter cloacae complex",inequality,No
"<10,000 CFU/mL Enterococcus avium","<10,000 CFU/mL Enterococcus avium",inequality,No
"<10,000 CFU/mL Enterococcus faecalis","<10,000 CFU/mL Enterococcus faecalis",inequality,No
"<10,000 CFU/mL Enterococcus faecium","<10,000 CFU/mL Enterococcus faecium",inequality,No
"<10,000 CFU/mL Enterococcus species","<10,000 CFU/mL Enterococcus species",inequality,No
"<10,000 CFU/mL Enterococcus-like colonies","<10,000 CFU/mL Enterococcus-like colonies",inequality,No
"<10,000 CFU/mL Escherichia coli","<10,000 CFU/mL Escherichia coli",inequality,No
"<10,000 CFU/mL Escherichia coli-like colonies","<10,000 CFU/mL Escherichia coli-like colonies",inequality,No
"<10,000 CFU/mL Gram Negative Rod","<10,000 CFU/mL Gram Negative Rod",inequality,No
"<10,000 CFU/mL Gram Positive Cocci","<10,000 CFU/mL Gram Positive Cocci",inequality,No
"<10,000 CFU/mL Klebsiella oxytoca","<10,000 CFU/mL Klebsiella oxytoca",inequality,No
"<10,000 CFU/mL Klebsiella pneumoniae","<10,000 CFU/mL Klebsiella pneumoniae",inequality,No
"<10,000 CFU/mL Lactobacillus species","<10,000 CFU/mL Lactobacillus species",inequality,No
"<10,000 CFU/mL Lactose Negative Gram Negative Rod","<10,000 CFU/mL Lactose Negative Gram Negative Rod",inequality,No
"<10,000 CFU/mL Lactose Positive Gram Negative Rod","<10,000 CFU/mL Lactose Positive Gram Negative Rod",inequality,No
"<10,000 CFU/mL Methicillin Resistant Staphylococcus aureus","<10,000 CFU/mL Methicillin Resistant Staphylococcus aureus",inequality,No
"<10,000 CFU/mL Morganella morganii","<10,000 CFU/mL Morganella morganii",inequality,No
"<10,000 CFU/mL Non-Fermenting Gram Negative Rod","<10,000 CFU/mL Non-Fermenting Gram Negative Rod",inequality,No
"<10,000 CFU/mL Pantoea agglomerans","<10,000 CFU/mL Pantoea agglomerans",inequality,No
"<10,000 CFU/mL Pantoea species","<10,000 CFU/mL Pantoea species",inequality,No
"<10,000 CFU/mL Probable Staphylococcus aureus","<10,000 CFU/mL Probable Staphylococcus aureus",inequality,No
"<10,000 CFU/mL Probable candida albicans","<10,000 CFU/mL Probable candida albicans",inequality,No
"<10,000 CFU/mL Proteus mirabilis","<10,000 CFU/mL Proteus mirabilis",inequality,No
"<10,000 CFU/mL Proteus penneri","<10,000 CFU/mL Proteus penneri",inequality,No
"<10,000 CFU/mL Proteus species","<10,000 CFU/mL Proteus species",inequality,No
"<10,000 CFU/mL Proteus vulgaris","<10,000 CFU/mL Proteus vulgaris",inequality,No
"<10,000 CFU/mL Pseudescherichia vulneris","<10,000 CFU/mL Pseudescherichia vulneris",inequality,No
"<10,000 CFU/mL Pseudomonas aeruginosa","<10,000 CFU/mL Pseudomonas aeruginosa",inequality,No
"<10,000 CFU/mL Pseudomonas-like colonies","<10,000 CFU/mL Pseudomonas-like colonies",inequality,No
"<10,000 CFU/mL Raoultella ornithinolytica","<10,000 CFU/mL Raoultella ornithinolytica",inequality,No
"<10,000 CFU/mL Serratia liquefaciens","<10,000 CFU/mL Serratia liquefaciens",inequality,No
"<10,000 CFU/mL Serratia marcescens","<10,000 CFU/mL Serratia marcescens",inequality,No
"<10,000 CFU/mL Staphylococcus aureus","<10,000 CFU/mL Staphylococcus aureus",inequality,No
"<10,000 CFU/mL Staphylococcus epidermidis","<10,000 CFU/mL Staphylococcus epidermidis",inequality,No
"<10,000 CFU/mL Staphylococcus haemolyticus","<10,000 CFU/mL Staphylococcus haemolyticus",inequality,No
"<10,000 CFU/mL Staphylococcus-like colonies","<10,000 CFU/mL Staphylococcus-like colonies",inequality,No
"<10,000 CFU/mL Streptococcus agalactiae","<10,000 CFU/mL Streptococcus agalactiae",inequality,No
"<10,000 CFU/mL Streptococcus dysgalactiae","<10,000 CFU/mL Streptococcus dysgalactiae",inequality,No
"<10,000 CFU/mL Streptococcus species","<10,000 CFU/mL Streptococcus species",inequality,No
"<10,000 CFU/mL Vanco Resistant Enterococcus","<10,000 CFU/mL Vanco Resistant Enterococcus",inequality,No
"<10,000 CFU/mL Viridans group Streptococcus","<10,000 CFU/mL Viridans group Streptococcus",inequality,No
"<10,000 CFU/mL Viridans strep-like colonies","<10,000 CFU/mL Viridans strep-like colonies",inequality,No
"<10,000 CFU/mL Yeast","<10,000 CFU/mL Yeast",inequality,No
<10.0,<10.0,inequality,No
<10.00,<10.00,inequality,No
<10.4,<10.4,inequality,No
<10.8,<10.8,inequality,No
<100,<100,inequality,No
<1000,<1000,inequality,No
<101,<101,inequality,No
<102,<102,inequality,No
<103,<103,inequality,No
<104,<104,inequality,No
<105,<105,inequality,No
<106,<106,inequality,No
<107,<107,inequality,No
<108,<108,inequality,No
<109,<109,inequality,No
<11,<11,inequality,No
<11.0,<11.0,inequality,No
<110,<110,inequality,No
<111,<111,inequality,No
<112,<112,inequality,No
<113,<113,inequality,No
<114,<114,inequality,No
<115,<115,inequality,No
<116,<116,inequality,No
<117,<117,inequality,No
<118,<118,inequality,No
<119,<119,inequality,No
<12,<12,inequality,No
<12.0,<12.0,inequality,No
<12.4,<12.4,inequality,No
<12.5,<12.5,inequality,No
<12.7,<12.7,inequality,No
<12.8,<12.8,inequality,No
<12.9,<12.9,inequality,No
<120,<120,inequality,No
<121,<121,inequality,No
<122,<122,inequality,No
<123,<123,inequality,No
<124,<124,inequality,No
<125,<125,inequality,No
<126,<126,inequality,No
<127,<127,inequality,No
<128,<128,inequality,No
