code,META_LoincName,META_ReferenceUnit,META_DataType,raw_value_exact,row_count,bucket
GFRADINFO//8251-1,Service comment,,,See Comment,969245,free_text
GFRESTCKDEPI//98979-8,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)",mL/min/1.73m2,Number,>89,294683,numeric_like
BILIUR//1977-8,Bilirubin.total [Presence] in Urine,,Category,Negative,155326,binary
NITRITEUR//32710-6,Nitrite [Presence] in Urine,,Category,Negative,150798,binary
KETONESUR//2514-8,Ketones [Presence] in Urine by Test strip,,Category,Negative,138420,binary
GLUCOSEUR//2349-9,Glucose [Presence] in Urine,,Category,Negative,137248,binary
LEUKESTUR//105103-6,Leukocyte esterase [Presence] in Urine,,Category,Negative,105694,binary
COVID19QLPCR//94309-2,SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection,,Category,Not Detected,104553,binary
BLDUR//105906-2,Blood [Presence] in Urine,,Category,Negative,103484,binary
BILICON//15152-2,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,mg/dL,Number,<0.2,88716,numeric_like
PROTCLUR//20454-5,Protein [Presence] in Urine by Test strip,,Category,Negative,84634,binary
GFRESTAA//48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",mL/min/1.73m2,Number,>89,82876,numeric_like
GFR//45066-8,"Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood",,,...,66137,unknown
GFRESTNOAA//48642-3,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",mL/min/1.73m2,Number,>89,61107,numeric_like
GFRADINFO//8251-1,Service comment,,,Reference Intervals,57700,free_text
GFRESTAA//48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",,Number,>89,51265,numeric_like
